Date,AAPL,JPM,MSFT
1990-09-04,82745600,815100,47376000
1990-09-05,64052800,620400,54676800
1990-09-06,87628800,403500,115617600
1990-09-07,58172800,900900,53704800
1990-09-10,75980800,723600,74246400
1990-09-11,178270400,671700,78868800
1990-09-12,100408000,476100,75016800
1990-09-13,97260800,730500,49867200
1990-09-14,113915200,5145600,67672800
1990-09-17,77672000,1553100,70394400
1990-09-18,124611200,1461900,60638400
1990-09-19,182459200,1054200,52696800
1990-09-20,100934400,1548900,52444800
1990-09-21,153865600,2584200,79891200
1990-09-24,138499200,4232400,81439200
1990-09-25,157953600,1944000,53308800
1990-09-26,94136000,2136900,39268800
1990-09-27,142340800,3895800,65728800
1990-09-28,176041600,2832300,97984800
1990-10-01,155657600,2023500,131623200
1990-10-02,270984000,1384800,83469600
1990-10-03,268240000,1465500,57600000
1990-10-04,213494400,811200,69292800
1990-10-05,99489600,1175400,82101600
1990-10-08,61532800,592800,38678400
1990-10-09,120579200,967800,66376800
1990-10-10,147907200,1449300,115596000
1990-10-11,205979200,6369000,83815200
1990-10-12,228648000,4977300,109252800
1990-10-15,201017600,2130000,130334400
1990-10-16,305233600,2117100,300888000
1990-10-17,309064000,1655700,135820800
1990-10-18,315000000,1320900,123739200
1990-10-19,933732800,1536600,170337600
1990-10-22,252739200,972300,80294400
1990-10-23,167048000,911100,71884800
1990-10-24,141825600,1369800,54734400
1990-10-25,153462400,1362300,51501600
1990-10-26,134198400,2263800,59126400
1990-10-29,123480000,1353900,67881600
1990-10-30,98044800,2746800,52567200
1990-10-31,148758400,984600,61200000
1990-11-01,90652800,2182500,49442400
1990-11-02,148612800,2423100,74764800
1990-11-05,184475200,1050600,50702400
1990-11-06,184766400,1511400,59212800
1990-11-07,202977600,1910100,63100800
1990-11-08,199248000,1413600,43466400
1990-11-09,198228800,1630800,43344000
1990-11-12,145051200,1608300,87660000
1990-11-13,141948800,639300,67658400
1990-11-14,190747200,1391400,59724000
1990-11-15,161772800,936300,63129600
1990-11-16,183008000,832800,67075200
1990-11-19,223910400,843300,45554400
1990-11-20,153630400,1521600,68868000
1990-11-21,123211200,1342200,60739200
1990-11-23,53200000,236100,22060800
1990-11-26,81457600,924000,47577600
1990-11-27,164584000,937500,63417600
1990-11-28,174910400,824400,77623200
1990-11-29,126705600,855600,65865600
1990-11-30,121508800,1034400,72165600
1990-12-03,165401600,977100,68241600
1990-12-04,152152000,4585800,54547200
1990-12-05,218388800,8360400,68630400
1990-12-06,532246400,5669700,108201600
1990-12-07,329660800,4098600,81921600
1990-12-10,250588800,1259700,55526400
1990-12-11,347883200,1089300,61768800
1990-12-12,242356800,1382100,71560800
1990-12-13,160731200,923100,50709600
1990-12-14,87068800,1229400,48636000
1990-12-17,131107200,2350200,27288000
1990-12-18,220987200,2639400,51876000
1990-12-19,140660800,2386500,34264800
1990-12-20,401072000,1809600,46994400
1990-12-21,346136000,1153500,33472800
1990-12-24,58721600,300300,13550400
1990-12-26,103073600,785400,16214400
1990-12-27,97652800,3094200,22629600
1990-12-28,63929600,1118700,20268000
1990-12-31,44273600,1360500,23702400
1991-01-02,154985600,2010000,38109600
1991-01-03,150180800,1107600,52826400
1991-01-04,141523200,1329600,58485600
1991-01-07,310800000,1274400,87552000
1991-01-08,218691200,624000,76442400
