Date,AAPL,CSCO,CVX,DIS,GE,INTC,JNJ,JPM,KO,MCD,MRK,MSFT,PEP,PG,SPY,T,WMT,XOM
1996-09-03,68297600,63783000,2866200,2496401,2970430,50458400,2576600,6884100,6286800,2107000,4338091,48524800,7231000,2842800,1782000,2184600,12133200,8464000
1996-09-04,101449600,42063300,2786400,2252813,2264318,39469600,2111600,2561700,4924000,4434600,3386926,27126400,8369400,1944000,930200,2280987,12361800,9084400
1996-09-05,279585600,52979400,1288600,3020983,2157775,54436000,2356200,2715300,3127200,3469200,2898558,40372800,8901500,2340400,616600,2672362,9748200,4938800
1996-09-06,240833600,76297500,1524200,4058895,2247666,39244000,2416200,5871000,6239200,2272000,6152808,41921600,6698200,2048400,804900,1984941,14703600,5405200
1996-09-09,148243200,33679800,1484800,2789255,2413928,56342400,2815800,4225500,4431800,2062800,4299944,41747200,7662200,4469600,719200,1996857,10152600,4229200
1996-09-10,155713600,49743000,1542200,4037608,2772493,77851200,3769200,4485000,5633400,2517600,4188856,38904000,10589100,2795600,669900,1995268,10201200,4668000
1996-09-11,147201600,46509300,3098200,2887785,2371612,46831200,3437800,5136600,3573400,3581400,3649555,36387200,7197800,2503600,713500,2690103,10153200,8315600
1996-09-12,260915200,61961400,2458200,6761784,3418511,49197600,2905200,4050300,3971400,2248800,3235386,95944000,5824400,5115200,713300,2848718,24513600,6192800
1996-09-13,166611200,94146300,3274000,5506741,3201043,82940000,3938600,8997900,5152800,4812200,4291560,80137600,7957800,3343200,2008800,5013194,34746600,6013200
1996-09-16,244652800,84052800,2087000,3981652,2684480,70357600,4645200,7200000,5321600,2977400,4449598,62409600,15385800,3612800,1220200,2790727,17912400,6052400
1996-09-17,209171200,82590300,2911400,4007197,2657312,152990400,2353400,5312700,5381600,3077000,4010696,75624000,9799200,2780400,604700,2443045,12159600,4699200
1996-09-18,353360000,60391800,2384400,2739078,2197212,103812000,1759800,4729200,6727200,2811800,4324467,86049600,11163600,2866400,225500,1642554,14913000,5549600
1996-09-19,119470400,47973600,1978400,6937253,2181813,66176000,2120200,3074700,4955600,2758200,4887243,75912000,9203200,4158800,410000,1650498,12077400,4548800
1996-09-20,149150400,70929000,3587800,8056361,5283324,81262400,6317000,5076300,15474000,4722200,6565301,104849600,9509700,7072400,948400,3417774,35001000,12608000
1996-09-23,45763200,40231800,1770400,2743335,1909008,48962400,2810200,3725100,4439000,2317200,4607008,46385600,3883300,2999600,466800,2008773,9651600,3786800
1996-09-24,143785600,61106400,3327400,3512722,3320106,63469600,3457200,9295200,6351800,4271200,5252576,72520000,4288400,6752000,1269800,1815469,20442600,5724000
1996-09-25,109043200,86429700,2123200,2973239,3678421,46242400,2499200,5663100,4778600,3727400,3819331,44067200,3668600,5498000,1353300,2292638,17872200,4300800
1996-09-26,103286400,78279300,1837400,3206792,2794403,82620800,5055800,4226700,4347000,2710800,8781402,92604800,5721600,4069200,773200,2753920,16277400,6397600
1996-09-27,81569600,39957300,1186200,1957223,3444928,33680000,2691200,2421300,5774800,2765200,4193048,98372800,22631300,2721200,407600,1454546,11194200,5042400
1996-09-30,85444800,39687300,1879800,3612164,2257181,42668000,2691200,4266300,4200200,2035400,4277517,89574400,8131000,3476400,578200,1962168,17460600,5321200
1996-10-01,539246400,49250700,1825200,2746376,2002029,55946400,2583000,6768900,13362000,2927400,4804032,69124800,7273200,3070800,561400,1947339,9717000,5822000
